province,crop_name,year,month,sold_quantity,average_price,predicted_quantity,model_name
An Giang,Thanh Long,2026,1,0.0,0.0,-9.76,GradientBoostingRegressor
An Giang,Thanh Long,2026,2,0.0,0.0,-9.76,GradientBoostingRegressor
An Giang,Thanh Long,2026,3,0.0,0.0,74.62,GradientBoostingRegressor
An Giang,Thanh Long,2026,4,0.0,0.0,73.59,GradientBoostingRegressor
An Giang,Thanh Long,2026,5,0.0,0.0,73.59,GradientBoostingRegressor
An Giang,Thanh Long,2026,6,0.0,0.0,73.59,GradientBoostingRegressor
An Giang,Thanh Long,2026,7,0.0,0.0,30.21,GradientBoostingRegressor
An Giang,Xoài,2025,7,0.0,0.0,30.21,GradientBoostingRegressor
An Giang,Xoài,2025,8,0.0,0.0,30.21,GradientBoostingRegressor
An Giang,Xoài,2025,9,90.32,27382.41,2017.12,GradientBoostingRegressor
An Giang,Xoài,2025,10,76.26,23166.88,2373.16,GradientBoostingRegressor
An Giang,Xoài,2025,11,1310.32,23334.855827049883,9688.11,GradientBoostingRegressor
An Giang,Xoài,2025,12,253.37,24479.59,2836.37,GradientBoostingRegressor
An Giang,Xoài,2026,1,0.0,0.0,-9.76,GradientBoostingRegressor
An Giang,Xoài,2026,2,469.9,19429.86,5981.77,GradientBoostingRegressor
An Giang,Xoài,2026,3,0.0,0.0,74.62,GradientBoostingRegressor
An Giang,Xoài,2026,4,0.0,0.0,73.59,GradientBoostingRegressor
An Giang,Xoài,2026,5,0.0,0.0,73.59,GradientBoostingRegressor
An Giang,Xoài,2026,6,807.01,21381.78891971599,9904.57,GradientBoostingRegressor
An Giang,Xoài,2026,7,573.5,21760.05,6540.87,GradientBoostingRegressor
An Giang,Ổi,2025,7,10902.67,14604.86906067963,65168.61,GradientBoostingRegressor
An Giang,Ổi,2025,8,3288.99,13494.447514130476,30208.17,GradientBoostingRegressor
An Giang,Ổi,2025,9,71.73,15151.68,3009.84,GradientBoostingRegressor
An Giang,Ổi,2025,10,1647.81,15581.002824597495,13798.67,GradientBoostingRegressor
An Giang,Ổi,2025,11,403.04,16037.81,5221.66,GradientBoostingRegressor
An Giang,Ổi,2025,12,1303.07,14569.325336014184,11543.98,GradientBoostingRegressor
An Giang,Ổi,2026,1,814.72,16155.46,9811.08,GradientBoostingRegressor
An Giang,Ổi,2026,2,292.45,13168.830000000002,4793.84,GradientBoostingRegressor
An Giang,Ổi,2026,3,11.87,17973.37,3246.77,GradientBoostingRegressor
An Giang,Ổi,2026,4,284.24,16177.34,4877.19,GradientBoostingRegressor
An Giang,Ổi,2026,5,0.0,0.0,73.59,GradientBoostingRegressor
An Giang,Ổi,2026,6,1369.06,13669.90446262399,15788.87,GradientBoostingRegressor
An Giang,Ổi,2026,7,0.0,0.0,30.21,GradientBoostingRegressor
Bình Thuận,Bưởi,2025,7,0.0,0.0,-12.39,GradientBoostingRegressor
Bình Thuận,Bưởi,2025,8,0.0,0.0,-12.39,GradientBoostingRegressor
Bình Thuận,Bưởi,2025,9,0.0,0.0,-76.98,GradientBoostingRegressor
Bình Thuận,Bưởi,2025,10,0.0,0.0,-70.9,GradientBoostingRegressor
Bình Thuận,Bưởi,2025,11,0.0,0.0,-70.9,GradientBoostingRegressor
Bình Thuận,Bưởi,2025,12,0.0,0.0,-70.9,GradientBoostingRegressor
Bình Thuận,Bưởi,2026,1,0.0,0.0,-52.36,GradientBoostingRegressor
Bình Thuận,Bưởi,2026,2,0.0,0.0,-52.36,GradientBoostingRegressor
Bình Thuận,Bưởi,2026,3,0.0,0.0,32.02,GradientBoostingRegressor
Bình Thuận,Bưởi,2026,4,0.0,0.0,30.99,GradientBoostingRegressor
Bình Thuận,Bưởi,2026,5,0.0,0.0,30.99,GradientBoostingRegressor
Bình Thuận,Bưởi,2026,6,0.0,0.0,30.99,GradientBoostingRegressor
Bình Thuận,Bưởi,2026,7,0.0,0.0,-12.39,GradientBoostingRegressor
Bình Thuận,Chôm Chôm,2025,7,0.0,0.0,30.21,GradientBoostingRegressor
Bình Thuận,Chôm Chôm,2025,8,0.0,0.0,30.21,GradientBoostingRegressor
Bình Thuận,Chôm Chôm,2025,9,0.0,0.0,-34.37,GradientBoostingRegressor
Bình Thuận,Chôm Chôm,2025,10,0.0,0.0,-28.3,GradientBoostingRegressor
Bình Thuận,Chôm Chôm,2025,11,0.0,0.0,-28.3,GradientBoostingRegressor
Bình Thuận,Chôm Chôm,2025,12,0.0,0.0,-28.3,GradientBoostingRegressor
Bình Thuận,Chôm Chôm,2026,1,0.0,0.0,-9.76,GradientBoostingRegressor
Bình Thuận,Chôm Chôm,2026,2,0.0,0.0,-9.76,GradientBoostingRegressor
Bình Thuận,Chôm Chôm,2026,3,0.0,0.0,74.62,GradientBoostingRegressor
Bình Thuận,Chôm Chôm,2026,4,0.0,0.0,73.59,GradientBoostingRegressor
Bình Thuận,Chôm Chôm,2026,5,0.0,0.0,73.59,GradientBoostingRegressor
Bình Thuận,Chôm Chôm,2026,6,0.0,0.0,73.59,GradientBoostingRegressor
Bình Thuận,Chôm Chôm,2026,7,0.0,0.0,30.21,GradientBoostingRegressor
Bình Thuận,Dứa,2025,7,0.0,0.0,30.21,GradientBoostingRegressor
Bình Thuận,Dứa,2025,8,0.0,0.0,30.21,GradientBoostingRegressor
Bình Thuận,Dứa,2025,9,0.0,0.0,-34.37,GradientBoostingRegressor
Bình Thuận,Dứa,2025,10,0.0,0.0,-28.3,GradientBoostingRegressor
Bình Thuận,Dứa,2025,11,0.0,0.0,-28.3,GradientBoostingRegressor
Bình Thuận,Dứa,2025,12,0.0,0.0,-28.3,GradientBoostingRegressor
Bình Thuận,Dứa,2026,1,0.0,0.0,-9.76,GradientBoostingRegressor
Bình Thuận,Dứa,2026,2,0.0,0.0,-9.76,GradientBoostingRegressor
Bình Thuận,Dứa,2026,3,0.0,0.0,74.62,GradientBoostingRegressor
Bình Thuận,Dứa,2026,4,0.0,0.0,73.59,GradientBoostingRegressor
Bình Thuận,Dứa,2026,5,0.0,0.0,73.59,GradientBoostingRegressor
Bình Thuận,Dứa,2026,6,0.0,0.0,73.59,GradientBoostingRegressor
Bình Thuận,Dứa,2026,7,0.0,0.0,30.21,GradientBoostingRegressor
Bình Thuận,Mít,2025,7,0.0,0.0,50.63,GradientBoostingRegressor
Bình Thuận,Mít,2025,8,0.0,0.0,50.63,GradientBoostingRegressor
Bình Thuận,Mít,2025,9,0.0,0.0,-13.96,GradientBoostingRegressor
Bình Thuận,Mít,2025,10,0.0,0.0,-7.89,GradientBoostingRegressor
Bình Thuận,Mít,2025,11,0.0,0.0,-7.89,GradientBoostingRegressor
Bình Thuận,Mít,2025,12,0.0,0.0,-7.89,GradientBoostingRegressor
Bình Thuận,Mít,2026,1,0.0,0.0,9.63,GradientBoostingRegressor
Bình Thuận,Mít,2026,2,0.0,0.0,9.63,GradientBoostingRegressor
Bình Thuận,Mít,2026,3,0.0,0.0,94.01,GradientBoostingRegressor
Bình Thuận,Mít,2026,4,0.0,0.0,94.01,GradientBoostingRegressor
Bình Thuận,Mít,2026,5,0.0,0.0,94.01,GradientBoostingRegressor
Bình Thuận,Mít,2026,6,0.0,0.0,94.01,GradientBoostingRegressor
Bình Thuận,Mít,2026,7,0.0,0.0,50.63,GradientBoostingRegressor
Bình Thuận,Nho,2025,7,0.0,0.0,30.21,GradientBoostingRegressor
Bình Thuận,Nho,2025,8,0.0,0.0,30.21,GradientBoostingRegressor
Bình Thuận,Nho,2025,9,0.0,0.0,-34.37,GradientBoostingRegressor
Bình Thuận,Nho,2025,10,0.0,0.0,-28.3,GradientBoostingRegressor
Bình Thuận,Nho,2025,11,0.0,0.0,-28.3,GradientBoostingRegressor
Bình Thuận,Nho,2025,12,0.0,0.0,-28.3,GradientBoostingRegressor
Bình Thuận,Nho,2026,1,0.0,0.0,-9.76,GradientBoostingRegressor
Bình Thuận,Nho,2026,2,0.0,0.0,-9.76,GradientBoostingRegressor
Bình Thuận,Nho,2026,3,0.0,0.0,74.62,GradientBoostingRegressor
Bình Thuận,Nho,2026,4,0.0,0.0,73.59,GradientBoostingRegressor
Bình Thuận,Nho,2026,5,0.0,0.0,73.59,GradientBoostingRegressor
Bình Thuận,Nho,2026,6,0.0,0.0,73.59,GradientBoostingRegressor
Bình Thuận,Nho,2026,7,0.0,0.0,30.21,GradientBoostingRegressor
Bình Thuận,Rau Cải,2025,7,152.87,13584.8272080853,3794.84,GradientBoostingRegressor
Bình Thuận,Rau Cải,2025,8,1666.83,12397.959631036158,14832.39,GradientBoostingRegressor
Bình Thuận,Rau Cải,2025,9,0.0,0.0,-90.35,GradientBoostingRegressor
Bình Thuận,Rau Cải,2025,10,1976.03,12780.816538008026,14566.29,GradientBoostingRegressor
Bình Thuận,Rau Cải,2025,11,1363.91,12600.309955715553,12920.17,GradientBoostingRegressor
Bình Thuận,Rau Cải,2025,12,2567.53,12668.215218361616,18619.65,GradientBoostingRegressor
Bình Thuận,Rau Cải,2026,1,1338.16,14088.966228104262,11887.05,GradientBoostingRegressor
Bình Thuận,Rau Cải,2026,2,733.59,11753.29520181573,8183.85,GradientBoostingRegressor
Bình Thuận,Rau Cải,2026,3,1831.77,12386.315325723208,16265.98,GradientBoostingRegressor
Bình Thuận,Rau Cải,2026,4,949.26,14184.289366559216,9215.28,GradientBoostingRegressor
Bình Thuận,Rau Cải,2026,5,1050.11,10657.809999999998,12220.11,GradientBoostingRegressor
Bình Thuận,Rau Cải,2026,6,584.8100000000001,13850.100147740292,9739.49,GradientBoostingRegressor
Bình Thuận,Rau Cải,2026,7,0.0,0.0,-25.77,GradientBoostingRegressor
Bình Thuận,Sầu Riêng,2025,7,0.0,0.0,30.21,GradientBoostingRegressor
Bình Thuận,Sầu Riêng,2025,8,0.0,0.0,30.21,GradientBoostingRegressor
Bình Thuận,Sầu Riêng,2025,9,0.0,0.0,-34.37,GradientBoostingRegressor
Bình Thuận,Sầu Riêng,2025,10,0.0,0.0,-28.3,GradientBoostingRegressor
Bình Thuận,Sầu Riêng,2025,11,0.0,0.0,-28.3,GradientBoostingRegressor
Bình Thuận,Sầu Riêng,2025,12,0.0,0.0,-28.3,GradientBoostingRegressor
Bình Thuận,Sầu Riêng,2026,1,0.0,0.0,-9.76,GradientBoostingRegressor
Bình Thuận,Sầu Riêng,2026,2,0.0,0.0,-9.76,GradientBoostingRegressor
Bình Thuận,Sầu Riêng,2026,3,0.0,0.0,74.62,GradientBoostingRegressor
Bình Thuận,Sầu Riêng,2026,4,0.0,0.0,73.59,GradientBoostingRegressor
Bình Thuận,Sầu Riêng,2026,5,0.0,0.0,73.59,GradientBoostingRegressor
Bình Thuận,Sầu Riêng,2026,6,0.0,0.0,73.59,GradientBoostingRegressor
Bình Thuận,Sầu Riêng,2026,7,0.0,0.0,30.21,GradientBoostingRegressor
Bình Thuận,Thanh Long,2025,7,0.0,0.0,30.21,GradientBoostingRegressor
Bình Thuận,Thanh Long,2025,8,0.0,0.0,30.21,GradientBoostingRegressor
Bình Thuận,Thanh Long,2025,9,0.0,0.0,-34.37,GradientBoostingRegressor
Bình Thuận,Thanh Long,2025,10,0.0,0.0,-28.3,GradientBoostingRegressor
Bình Thuận,Thanh Long,2025,11,0.0,0.0,-28.3,GradientBoostingRegressor
Bình Thuận,Thanh Long,2025,12,0.0,0.0,-28.3,GradientBoostingRegressor
Bình Thuận,Thanh Long,2026,1,0.0,0.0,-9.76,GradientBoostingRegressor
Bình Thuận,Thanh Long,2026,2,0.0,0.0,-9.76,GradientBoostingRegressor
Bình Thuận,Thanh Long,2026,3,0.0,0.0,74.62,GradientBoostingRegressor
Bình Thuận,Thanh Long,2026,4,0.0,0.0,73.59,GradientBoostingRegressor
Bình Thuận,Thanh Long,2026,5,0.0,0.0,73.59,GradientBoostingRegressor
Bình Thuận,Thanh Long,2026,6,0.0,0.0,73.59,GradientBoostingRegressor
Bình Thuận,Thanh Long,2026,7,0.0,0.0,30.21,GradientBoostingRegressor
Bình Thuận,Xoài,2025,7,0.0,0.0,30.21,GradientBoostingRegressor
Bình Thuận,Xoài,2025,8,0.0,0.0,30.21,GradientBoostingRegressor
Bình Thuận,Xoài,2025,9,0.0,0.0,-34.37,GradientBoostingRegressor
Bình Thuận,Xoài,2025,10,0.0,0.0,-28.3,GradientBoostingRegressor
Bình Thuận,Xoài,2025,11,0.0,0.0,-28.3,GradientBoostingRegressor
Bình Thuận,Xoài,2025,12,0.0,0.0,-28.3,GradientBoostingRegressor
Bình Thuận,Xoài,2026,1,0.0,0.0,-9.76,GradientBoostingRegressor
Bình Thuận,Xoài,2026,2,0.0,0.0,-9.76,GradientBoostingRegressor
Bình Thuận,Xoài,2026,3,0.0,0.0,74.62,GradientBoostingRegressor
Bình Thuận,Xoài,2026,4,0.0,0.0,73.59,GradientBoostingRegressor
Bình Thuận,Xoài,2026,5,0.0,0.0,73.59,GradientBoostingRegressor
Bình Thuận,Xoài,2026,6,0.0,0.0,73.59,GradientBoostingRegressor
Bình Thuận,Xoài,2026,7,0.0,0.0,30.21,GradientBoostingRegressor
Bình Thuận,Ổi,2025,7,1097.23,12471.743269779352,12726.56,GradientBoostingRegressor
Bình Thuận,Ổi,2025,8,3333.7200000000003,14195.920405103006,30208.17,GradientBoostingRegressor
Bình Thuận,Ổi,2025,9,0.0,0.0,-34.37,GradientBoostingRegressor
Bình Thuận,Ổi,2025,10,0.0,0.0,-28.3,GradientBoostingRegressor
Bình Thuận,Ổi,2025,11,3166.19,14635.156161853836,21289.67,GradientBoostingRegressor
Bình Thuận,Ổi,2025,12,2423.39,13823.233356166364,17176.41,GradientBoostingRegressor
Bình Thuận,Ổi,2026,1,791.13,13885.312832530684,9903.71,GradientBoostingRegressor
Bình Thuận,Ổi,2026,2,0.0,0.0,-9.76,GradientBoostingRegressor
Bình Thuận,Ổi,2026,3,1875.34,18349.244181268463,18217.09,GradientBoostingRegressor
Bình Thuận,Ổi,2026,4,1238.56,15938.728641486889,14548.3,GradientBoostingRegressor
Bình Thuận,Ổi,2026,5,331.68,19332.85786330198,5770.03,GradientBoostingRegressor
Bình Thuận,Ổi,2026,6,2295.41,14328.250048270243,22002.05,GradientBoostingRegressor
Bình Thuận,Ổi,2026,7,0.0,0.0,30.21,GradientBoostingRegressor
Bắc Ninh,Bưởi,2025,7,733.4,33928.280000000006,6587.31,GradientBoostingRegressor
Bắc Ninh,Bưởi,2025,8,901.65,27028.98063749792,7348.28,GradientBoostingRegressor
Bắc Ninh,Bưởi,2025,9,1019.59,28171.34,5143.44,GradientBoostingRegressor
Bắc Ninh,Bưởi,2025,10,1246.73,29188.82,4287.07,GradientBoostingRegressor
Bắc Ninh,Bưởi,2025,11,1862.54,22968.99018909661,5672.1,GradientBoostingRegressor
Bắc Ninh,Bưởi,2025,12,3658.96,21871.20693743577,9744.07,GradientBoostingRegressor
Bắc Ninh,Bưởi,2026,1,2382.34,28530.79899758221,9274.23,GradientBoostingRegressor
Bắc Ninh,Bưởi,2026,2,456.74,28348.700000000004,2917.64,GradientBoostingRegressor
Bắc Ninh,Bưởi,2026,3,870.47,28294.053476168046,5800.68,GradientBoostingRegressor
Bắc Ninh,Bưởi,2026,4,182.86,25965.15,2059.83,GradientBoostingRegressor
Bắc Ninh,Bưởi,2026,5,62.37,27797.36,1186.39,GradientBoostingRegressor
Bắc Ninh,Bưởi,2026,6,56.74,27797.36,1186.39,GradientBoostingRegressor
Bắc Ninh,Bưởi,2026,7,0.0,0.0,-12.39,GradientBoostingRegressor
Bắc Ninh,Chôm Chôm,2025,7,0.0,0.0,30.21,GradientBoostingRegressor
Bắc Ninh,Chôm Chôm,2025,8,0.0,0.0,30.21,GradientBoostingRegressor
Bắc Ninh,Chôm Chôm,2025,9,0.0,0.0,-34.37,GradientBoostingRegressor
Bắc Ninh,Chôm Chôm,2025,10,0.0,0.0,-28.3,GradientBoostingRegressor
Bắc Ninh,Chôm Chôm,2025,11,0.0,0.0,-28.3,GradientBoostingRegressor
Bắc Ninh,Chôm Chôm,2025,12,0.0,0.0,-28.3,GradientBoostingRegressor
Bắc Ninh,Chôm Chôm,2026,1,0.0,0.0,-9.76,GradientBoostingRegressor
Bắc Ninh,Chôm Chôm,2026,2,0.0,0.0,-9.76,GradientBoostingRegressor
Bắc Ninh,Chôm Chôm,2026,3,0.0,0.0,74.62,GradientBoostingRegressor
Bắc Ninh,Chôm Chôm,2026,4,0.0,0.0,73.59,GradientBoostingRegressor
Bắc Ninh,Chôm Chôm,2026,5,0.0,0.0,73.59,GradientBoostingRegressor
Bắc Ninh,Chôm Chôm,2026,6,0.0,0.0,73.59,GradientBoostingRegressor
Bắc Ninh,Chôm Chôm,2026,7,0.0,0.0,30.21,GradientBoostingRegressor
Bắc Ninh,Dứa,2025,7,0.0,0.0,30.21,GradientBoostingRegressor
Bắc Ninh,Dứa,2025,8,0.0,8567.83,3323.58,GradientBoostingRegressor
Bắc Ninh,Dứa,2025,9,658.9300000000001,9264.38963228264,7872.82,GradientBoostingRegressor
Bắc Ninh,Dứa,2025,10,0.0,0.0,-28.3,GradientBoostingRegressor
Bắc Ninh,Dứa,2025,11,0.0,0.0,-28.3,GradientBoostingRegressor
Bắc Ninh,Dứa,2025,12,0.0,0.0,-28.3,GradientBoostingRegressor
Bắc Ninh,Dứa,2026,1,1075.52,8918.267365646387,12647.25,GradientBoostingRegressor
Bắc Ninh,Dứa,2026,2,1198.25,9162.77201902775,6004.95,GradientBoostingRegressor
Bắc Ninh,Dứa,2026,3,1685.6,6965.490081929283,16641.02,GradientBoostingRegressor
Bắc Ninh,Dứa,2026,4,267.94,6917.55,1705.05,GradientBoostingRegressor
Bắc Ninh,Dứa,2026,5,0.0,0.0,73.59,GradientBoostingRegressor
Bắc Ninh,Dứa,2026,6,0.0,0.0,73.59,GradientBoostingRegressor
Bắc Ninh,Dứa,2026,7,0.0,0.0,30.21,GradientBoostingRegressor
Bắc Ninh,Mít,2025,7,0.0,0.0,50.63,GradientBoostingRegressor
Bắc Ninh,Mít,2025,8,0.0,0.0,50.63,GradientBoostingRegressor
Bắc Ninh,Mít,2025,9,0.0,0.0,-13.96,GradientBoostingRegressor
Bắc Ninh,Mít,2025,10,0.0,0.0,-7.89,GradientBoostingRegressor
Bắc Ninh,Mít,2025,11,0.0,0.0,-7.89,GradientBoostingRegressor
Bắc Ninh,Mít,2025,12,0.0,0.0,-7.89,GradientBoostingRegressor
Bắc Ninh,Mít,2026,1,0.0,0.0,9.63,GradientBoostingRegressor
Bắc Ninh,Mít,2026,2,0.0,0.0,9.63,GradientBoostingRegressor
Bắc Ninh,Mít,2026,3,0.0,0.0,94.01,GradientBoostingRegressor
Bắc Ninh,Mít,2026,4,0.0,0.0,94.01,GradientBoostingRegressor
Bắc Ninh,Mít,2026,5,0.0,0.0,94.01,GradientBoostingRegressor
Bắc Ninh,Mít,2026,6,0.0,0.0,94.01,GradientBoostingRegressor
Bắc Ninh,Mít,2026,7,0.0,0.0,50.63,GradientBoostingRegressor
Bắc Ninh,Nho,2025,7,0.0,0.0,30.21,GradientBoostingRegressor
Bắc Ninh,Nho,2025,8,0.0,0.0,30.21,GradientBoostingRegressor
Bắc Ninh,Nho,2025,9,0.0,0.0,-34.37,GradientBoostingRegressor
Bắc Ninh,Nho,2025,10,0.0,0.0,-28.3,GradientBoostingRegressor
Bắc Ninh,Nho,2025,11,0.0,0.0,-28.3,GradientBoostingRegressor
Bắc Ninh,Nho,2025,12,0.0,0.0,-28.3,GradientBoostingRegressor
