province,crop_name,year,month,harvest_quantity,sold_quantity,average_price
Bình Thuận,Dứa,2026,2,0.0,0.0,0.0
Bình Thuận,Dứa,2026,3,0.0,0.0,0.0
Bình Thuận,Dứa,2026,4,0.0,0.0,0.0
Bình Thuận,Dứa,2026,5,0.0,0.0,0.0
Bình Thuận,Dứa,2026,6,0.0,0.0,0.0
Bình Thuận,Dứa,2026,7,0.0,0.0,0.0
Bình Thuận,Mít,2025,7,0.0,0.0,0.0
Bình Thuận,Mít,2025,8,0.0,0.0,0.0
Bình Thuận,Mít,2025,9,0.0,0.0,0.0
Bình Thuận,Mít,2025,10,0.0,0.0,0.0
Bình Thuận,Mít,2025,11,0.0,0.0,0.0
Bình Thuận,Mít,2025,12,0.0,0.0,0.0
Bình Thuận,Mít,2026,1,0.0,0.0,0.0
Bình Thuận,Mít,2026,2,0.0,0.0,0.0
Bình Thuận,Mít,2026,3,0.0,0.0,0.0
Bình Thuận,Mít,2026,4,0.0,0.0,0.0
Bình Thuận,Mít,2026,5,0.0,0.0,0.0
Bình Thuận,Mít,2026,6,0.0,0.0,0.0
Bình Thuận,Mít,2026,7,0.0,0.0,0.0
Bình Thuận,Nho,2025,7,0.0,0.0,0.0
Bình Thuận,Nho,2025,8,0.0,0.0,0.0
Bình Thuận,Nho,2025,9,0.0,0.0,0.0
Bình Thuận,Nho,2025,10,0.0,0.0,0.0
Bình Thuận,Nho,2025,11,0.0,0.0,0.0
Bình Thuận,Nho,2025,12,0.0,0.0,0.0
Bình Thuận,Nho,2026,1,0.0,0.0,0.0
Bình Thuận,Nho,2026,2,0.0,0.0,0.0
Bình Thuận,Nho,2026,3,0.0,0.0,0.0
Bình Thuận,Nho,2026,4,0.0,0.0,0.0
Bình Thuận,Nho,2026,5,0.0,0.0,0.0
Bình Thuận,Nho,2026,6,0.0,0.0,0.0
Bình Thuận,Nho,2026,7,0.0,0.0,0.0
Bình Thuận,Rau cải,2025,7,6786.2699999999995,152.87,13584.8272080853
Bình Thuận,Rau cải,2025,8,9831.31,1666.83,12397.959631036158
Bình Thuận,Rau cải,2025,9,0.0,0.0,0.0
Bình Thuận,Rau cải,2025,10,17165.79,1976.03,12780.816538008026
Bình Thuận,Rau cải,2025,11,7405.21,1363.91,12600.309955715551
Bình Thuận,Rau cải,2025,12,23098.07,2567.53,12668.215218361616
Bình Thuận,Rau cải,2026,1,3551.89,1338.1599999999999,14088.966228104262
Bình Thuận,Rau cải,2026,2,7325.84,733.59,11753.29520181573
Bình Thuận,Rau cải,2026,3,8308.29,1831.77,12386.315325723208
Bình Thuận,Rau cải,2026,4,6815.67,949.26,14184.289366559215
Bình Thuận,Rau cải,2026,5,5574.51,1050.1100000000001,10657.809999999998
Bình Thuận,Rau cải,2026,6,14224.96,584.8100000000001,13850.100147740292
Bình Thuận,Rau cải,2026,7,0.0,0.0,0.0
Bình Thuận,Sầu riêng,2025,7,0.0,0.0,0.0
Bình Thuận,Sầu riêng,2025,8,0.0,0.0,0.0
Bình Thuận,Sầu riêng,2025,9,0.0,0.0,0.0
Bình Thuận,Sầu riêng,2025,10,0.0,0.0,0.0
Bình Thuận,Sầu riêng,2025,11,0.0,0.0,0.0
Bình Thuận,Sầu riêng,2025,12,0.0,0.0,0.0
Bình Thuận,Sầu riêng,2026,1,0.0,0.0,0.0
Bình Thuận,Sầu riêng,2026,2,0.0,0.0,0.0
Bình Thuận,Sầu riêng,2026,3,0.0,0.0,0.0
Bình Thuận,Sầu riêng,2026,4,0.0,0.0,0.0
Bình Thuận,Sầu riêng,2026,5,0.0,0.0,0.0
Bình Thuận,Sầu riêng,2026,6,0.0,0.0,0.0
Bình Thuận,Sầu riêng,2026,7,0.0,0.0,0.0
Bình Thuận,Thanh long,2025,7,0.0,0.0,0.0
Bình Thuận,Thanh long,2025,8,0.0,0.0,0.0
Bình Thuận,Thanh long,2025,9,0.0,0.0,0.0
Bình Thuận,Thanh long,2025,10,0.0,0.0,0.0
Bình Thuận,Thanh long,2025,11,0.0,0.0,0.0
Bình Thuận,Thanh long,2025,12,0.0,0.0,0.0
Bình Thuận,Thanh long,2026,1,0.0,0.0,0.0
Bình Thuận,Thanh long,2026,2,0.0,0.0,0.0
Bình Thuận,Thanh long,2026,3,0.0,0.0,0.0
Bình Thuận,Thanh long,2026,4,0.0,0.0,0.0
Bình Thuận,Thanh long,2026,5,0.0,0.0,0.0
Bình Thuận,Thanh long,2026,6,0.0,0.0,0.0
Bình Thuận,Thanh long,2026,7,0.0,0.0,0.0
Bình Thuận,Xoài,2025,7,0.0,0.0,0.0
Bình Thuận,Xoài,2025,8,0.0,0.0,0.0
Bình Thuận,Xoài,2025,9,0.0,0.0,0.0
Bình Thuận,Xoài,2025,10,0.0,0.0,0.0
Bình Thuận,Xoài,2025,11,0.0,0.0,0.0
Bình Thuận,Xoài,2025,12,0.0,0.0,0.0
Bình Thuận,Xoài,2026,1,0.0,0.0,0.0
Bình Thuận,Xoài,2026,2,0.0,0.0,0.0
Bình Thuận,Xoài,2026,3,0.0,0.0,0.0
Bình Thuận,Xoài,2026,4,0.0,0.0,0.0
Bình Thuận,Xoài,2026,5,0.0,0.0,0.0
Bình Thuận,Xoài,2026,6,0.0,0.0,0.0
Bình Thuận,Xoài,2026,7,0.0,0.0,0.0
Bình Thuận,Ổi,2025,7,7853.69,1097.23,12471.743269779352
Bình Thuận,Ổi,2025,8,35426.43,3333.7200000000003,14195.920405103006
Bình Thuận,Ổi,2025,9,0.0,0.0,0.0
Bình Thuận,Ổi,2025,10,0.0,0.0,0.0
Bình Thuận,Ổi,2025,11,32303.909999999996,3166.19,14635.156161853836
Bình Thuận,Ổi,2025,12,24831.47,2423.39,13823.233356166364
Bình Thuận,Ổi,2026,1,12174.9,791.13,13885.312832530684
Bình Thuận,Ổi,2026,2,0.0,0.0,0.0
Bình Thuận,Ổi,2026,3,18375.38,1875.34,18349.244181268466
Bình Thuận,Ổi,2026,4,15303.93,1238.56,15938.728641486889
Bình Thuận,Ổi,2026,5,14058.170000000002,331.68,19332.85786330198
Bình Thuận,Ổi,2026,6,34215.77,2295.41,14328.250048270245
Bình Thuận,Ổi,2026,7,0.0,0.0,0.0
Bắc Ninh,Bưởi,2025,7,3925.39,733.4,33928.280000000006
Bắc Ninh,Bưởi,2025,8,9219.46,901.6500000000001,27028.98063749792
Bắc Ninh,Bưởi,2025,9,0.0,1019.59,28171.34
Bắc Ninh,Bưởi,2025,10,6119.49,1246.73,29188.82
Bắc Ninh,Bưởi,2025,11,18073.57,1862.54,22968.99018909661
Bắc Ninh,Bưởi,2025,12,0.0,3658.96,21871.20693743577
Bắc Ninh,Bưởi,2026,1,11194.42,2382.34,28530.798997582206
Bắc Ninh,Bưởi,2026,2,0.0,456.73999999999995,28348.700000000004
Bắc Ninh,Bưởi,2026,3,3961.08,870.47,28294.053476168046
Bắc Ninh,Bưởi,2026,4,0.0,182.86,25965.149999999998
Bắc Ninh,Bưởi,2026,5,1605.03,62.37,27797.36
Bắc Ninh,Bưởi,2026,6,0.0,56.74,27797.36
Bắc Ninh,Bưởi,2026,7,0.0,0.0,0.0
Bắc Ninh,Chôm chôm,2025,7,0.0,0.0,0.0
Bắc Ninh,Chôm chôm,2025,8,0.0,0.0,0.0
Bắc Ninh,Chôm chôm,2025,9,0.0,0.0,0.0
Bắc Ninh,Chôm chôm,2025,10,0.0,0.0,0.0
Bắc Ninh,Chôm chôm,2025,11,0.0,0.0,0.0
Bắc Ninh,Chôm chôm,2025,12,0.0,0.0,0.0
Bắc Ninh,Chôm chôm,2026,1,0.0,0.0,0.0
Bắc Ninh,Chôm chôm,2026,2,0.0,0.0,0.0
Bắc Ninh,Chôm chôm,2026,3,0.0,0.0,0.0
Bắc Ninh,Chôm chôm,2026,4,0.0,0.0,0.0
Bắc Ninh,Chôm chôm,2026,5,0.0,0.0,0.0
Bắc Ninh,Chôm chôm,2026,6,0.0,0.0,0.0
Bắc Ninh,Chôm chôm,2026,7,0.0,0.0,0.0
Bắc Ninh,Dứa,2025,7,0.0,0.0,0.0
Bắc Ninh,Dứa,2025,8,2413.93,0.0,8567.83
Bắc Ninh,Dứa,2025,9,3384.78,658.9300000000001,9264.389632282639
Bắc Ninh,Dứa,2025,10,0.0,0.0,0.0
Bắc Ninh,Dứa,2025,11,0.0,0.0,0.0
Bắc Ninh,Dứa,2025,12,0.0,0.0,0.0
Bắc Ninh,Dứa,2026,1,10074.279999999999,1075.52,8918.267365646387
Bắc Ninh,Dứa,2026,2,0.0,1198.25,9162.77201902775
Bắc Ninh,Dứa,2026,3,16864.98,1685.6,6965.490081929283
Bắc Ninh,Dứa,2026,4,0.0,267.94,6917.55
Bắc Ninh,Dứa,2026,5,0.0,0.0,0.0
Bắc Ninh,Dứa,2026,6,0.0,0.0,0.0
Bắc Ninh,Dứa,2026,7,0.0,0.0,0.0
Bắc Ninh,Mít,2025,7,0.0,0.0,0.0
Bắc Ninh,Mít,2025,8,0.0,0.0,0.0
Bắc Ninh,Mít,2025,9,0.0,0.0,0.0
Bắc Ninh,Mít,2025,10,0.0,0.0,0.0
Bắc Ninh,Mít,2025,11,0.0,0.0,0.0
Bắc Ninh,Mít,2025,12,0.0,0.0,0.0
Bắc Ninh,Mít,2026,1,0.0,0.0,0.0
Bắc Ninh,Mít,2026,2,0.0,0.0,0.0
Bắc Ninh,Mít,2026,3,0.0,0.0,0.0
Bắc Ninh,Mít,2026,4,0.0,0.0,0.0
Bắc Ninh,Mít,2026,5,0.0,0.0,0.0
Bắc Ninh,Mít,2026,6,0.0,0.0,0.0
Bắc Ninh,Mít,2026,7,0.0,0.0,0.0
Bắc Ninh,Nho,2025,7,0.0,0.0,0.0
Bắc Ninh,Nho,2025,8,0.0,0.0,0.0
Bắc Ninh,Nho,2025,9,0.0,0.0,0.0
Bắc Ninh,Nho,2025,10,0.0,0.0,0.0
Bắc Ninh,Nho,2025,11,0.0,0.0,0.0
Bắc Ninh,Nho,2025,12,0.0,0.0,0.0
Bắc Ninh,Nho,2026,1,0.0,0.0,0.0
Bắc Ninh,Nho,2026,2,0.0,0.0,0.0
Bắc Ninh,Nho,2026,3,0.0,0.0,0.0
Bắc Ninh,Nho,2026,4,0.0,0.0,0.0
Bắc Ninh,Nho,2026,5,0.0,0.0,0.0
Bắc Ninh,Nho,2026,6,0.0,0.0,0.0
Bắc Ninh,Nho,2026,7,0.0,0.0,0.0
Bắc Ninh,Rau cải,2025,7,0.0,0.0,0.0
Bắc Ninh,Rau cải,2025,8,0.0,0.0,0.0
Bắc Ninh,Rau cải,2025,9,0.0,0.0,0.0
Bắc Ninh,Rau cải,2025,10,0.0,0.0,0.0
Bắc Ninh,Rau cải,2025,11,0.0,0.0,0.0
Bắc Ninh,Rau cải,2025,12,0.0,0.0,0.0
Bắc Ninh,Rau cải,2026,1,0.0,0.0,0.0
Bắc Ninh,Rau cải,2026,2,0.0,0.0,0.0
Bắc Ninh,Rau cải,2026,3,0.0,0.0,0.0
Bắc Ninh,Rau cải,2026,4,0.0,0.0,0.0
Bắc Ninh,Rau cải,2026,5,0.0,0.0,0.0
Bắc Ninh,Rau cải,2026,6,0.0,0.0,0.0
Bắc Ninh,Rau cải,2026,7,0.0,0.0,0.0
Bắc Ninh,Sầu riêng,2025,7,0.0,0.0,0.0
Bắc Ninh,Sầu riêng,2025,8,0.0,0.0,0.0
Bắc Ninh,Sầu riêng,2025,9,0.0,0.0,0.0
Bắc Ninh,Sầu riêng,2025,10,0.0,0.0,0.0
Bắc Ninh,Sầu riêng,2025,11,0.0,0.0,0.0
Bắc Ninh,Sầu riêng,2025,12,0.0,0.0,0.0
Bắc Ninh,Sầu riêng,2026,1,0.0,0.0,0.0
Bắc Ninh,Sầu riêng,2026,2,0.0,0.0,0.0
Bắc Ninh,Sầu riêng,2026,3,0.0,0.0,0.0
Bắc Ninh,Sầu riêng,2026,4,0.0,0.0,0.0
Bắc Ninh,Sầu riêng,2026,5,0.0,0.0,0.0
Bắc Ninh,Sầu riêng,2026,6,0.0,0.0,0.0
Bắc Ninh,Sầu riêng,2026,7,0.0,0.0,0.0
Bắc Ninh,Thanh long,2025,7,0.0,0.0,0.0
Bắc Ninh,Thanh long,2025,8,0.0,0.0,0.0
Bắc Ninh,Thanh long,2025,9,0.0,0.0,0.0
Bắc Ninh,Thanh long,2025,10,0.0,0.0,0.0
Bắc Ninh,Thanh long,2025,11,0.0,0.0,0.0
Bắc Ninh,Thanh long,2025,12,0.0,0.0,0.0
Bắc Ninh,Thanh long,2026,1,0.0,0.0,0.0
Bắc Ninh,Thanh long,2026,2,0.0,0.0,0.0
Bắc Ninh,Thanh long,2026,3,0.0,0.0,0.0
Bắc Ninh,Thanh long,2026,4,14099.79,723.9100000000001,12734.63
Bắc Ninh,Thanh long,2026,5,0.0,492.83000000000004,12734.63
Bắc Ninh,Thanh long,2026,6,0.0,0.0,0.0
Bắc Ninh,Thanh long,2026,7,0.0,0.0,0.0
Bắc Ninh,Xoài,2025,7,0.0,0.0,0.0
Bắc Ninh,Xoài,2025,8,1647.76,182.64,26204.520000000004
Bắc Ninh,Xoài,2025,9,884.25,0.0,29006.23
Bắc Ninh,Xoài,2025,10,0.0,0.0,0.0
Bắc Ninh,Xoài,2025,11,1597.9,121.6,29859.98
Bắc Ninh,Xoài,2025,12,0.0,0.0,0.0
Bắc Ninh,Xoài,2026,1,0.0,0.0,0.0
Bắc Ninh,Xoài,2026,2,9231.84,186.01,19777.420000000002
Bắc Ninh,Xoài,2026,3,6519.23,2113.7799999999997,20289.15255400278
Bắc Ninh,Xoài,2026,4,0.0,0.0,0.0
Bắc Ninh,Xoài,2026,5,0.0,0.0,0.0
Bắc Ninh,Xoài,2026,6,10268.41,884.3399999999999,22263.98557455278
Bắc Ninh,Xoài,2026,7,0.0,137.55,22873.99
Bắc Ninh,Ổi,2025,7,0.0,0.0,0.0
Bắc Ninh,Ổi,2025,8,0.0,0.0,0.0
Bắc Ninh,Ổi,2025,9,0.0,0.0,0.0
Bắc Ninh,Ổi,2025,10,0.0,0.0,0.0
Bắc Ninh,Ổi,2025,11,0.0,0.0,0.0
Bắc Ninh,Ổi,2025,12,0.0,0.0,0.0
Bắc Ninh,Ổi,2026,1,0.0,0.0,0.0
Bắc Ninh,Ổi,2026,2,0.0,0.0,0.0
Bắc Ninh,Ổi,2026,3,0.0,0.0,0.0
Bắc Ninh,Ổi,2026,4,0.0,0.0,0.0
Bắc Ninh,Ổi,2026,5,0.0,0.0,0.0
Bắc Ninh,Ổi,2026,6,0.0,0.0,0.0
Bắc Ninh,Ổi,2026,7,0.0,0.0,0.0
Cao Bằng,Bưởi,2025,7,0.0,0.0,0.0
Cao Bằng,Bưởi,2025,8,0.0,0.0,0.0
Cao Bằng,Bưởi,2025,9,0.0,0.0,0.0
Cao Bằng,Bưởi,2025,10,0.0,0.0,0.0
Cao Bằng,Bưởi,2025,11,0.0,0.0,0.0
Cao Bằng,Bưởi,2025,12,0.0,0.0,0.0
Cao Bằng,Bưởi,2026,1,0.0,0.0,0.0
Cao Bằng,Bưởi,2026,2,0.0,0.0,0.0
Cao Bằng,Bưởi,2026,3,0.0,0.0,0.0
Cao Bằng,Bưởi,2026,4,0.0,0.0,0.0
Cao Bằng,Bưởi,2026,5,0.0,0.0,0.0
Cao Bằng,Bưởi,2026,6,0.0,0.0,0.0
Cao Bằng,Bưởi,2026,7,0.0,0.0,0.0
Cao Bằng,Chôm chôm,2025,7,0.0,0.0,0.0
Cao Bằng,Chôm chôm,2025,8,0.0,0.0,0.0
Cao Bằng,Chôm chôm,2025,9,0.0,0.0,0.0
Cao Bằng,Chôm chôm,2025,10,0.0,0.0,0.0
Cao Bằng,Chôm chôm,2025,11,0.0,0.0,0.0
Cao Bằng,Chôm chôm,2025,12,0.0,0.0,0.0
Cao Bằng,Chôm chôm,2026,1,0.0,0.0,0.0
Cao Bằng,Chôm chôm,2026,2,0.0,0.0,0.0
Cao Bằng,Chôm chôm,2026,3,0.0,0.0,0.0
Cao Bằng,Chôm chôm,2026,4,0.0,0.0,0.0
Cao Bằng,Chôm chôm,2026,5,0.0,0.0,0.0
Cao Bằng,Chôm chôm,2026,6,0.0,0.0,0.0
Cao Bằng,Chôm chôm,2026,7,0.0,0.0,0.0
Cao Bằng,Dứa,2025,7,0.0,0.0,0.0
Cao Bằng,Dứa,2025,8,0.0,0.0,0.0
Cao Bằng,Dứa,2025,9,0.0,0.0,0.0
Cao Bằng,Dứa,2025,10,0.0,0.0,0.0
Cao Bằng,Dứa,2025,11,0.0,0.0,0.0
Cao Bằng,Dứa,2025,12,0.0,0.0,0.0
Cao Bằng,Dứa,2026,1,0.0,0.0,0.0
Cao Bằng,Dứa,2026,2,0.0,0.0,0.0
Cao Bằng,Dứa,2026,3,0.0,0.0,0.0
Cao Bằng,Dứa,2026,4,8979.02,81.4,9739.239999999998
Cao Bằng,Dứa,2026,5,0.0,625.55,9739.24
Cao Bằng,Dứa,2026,6,0.0,0.0,0.0
Cao Bằng,Dứa,2026,7,0.0,0.0,0.0
Cao Bằng,Mít,2025,7,0.0,0.0,0.0
Cao Bằng,Mít,2025,8,0.0,0.0,0.0
Cao Bằng,Mít,2025,9,0.0,0.0,0.0
Cao Bằng,Mít,2025,10,0.0,0.0,0.0
Cao Bằng,Mít,2025,11,0.0,0.0,0.0
Cao Bằng,Mít,2025,12,0.0,0.0,0.0
Cao Bằng,Mít,2026,1,0.0,0.0,0.0
Cao Bằng,Mít,2026,2,0.0,0.0,0.0
Cao Bằng,Mít,2026,3,0.0,0.0,0.0
Cao Bằng,Mít,2026,4,0.0,0.0,0.0
Cao Bằng,Mít,2026,5,0.0,0.0,0.0
Cao Bằng,Mít,2026,6,0.0,0.0,0.0
Cao Bằng,Mít,2026,7,0.0,0.0,0.0
Cao Bằng,Nho,2025,7,3774.43,20.83,48671.72
